Key,English,French,german,russian
UndeadNegativeFactionSchematicDesc,"Read this to spread lies and fake news about the undead! Decrease your standings with the undead!","","Lies dies, um Lügen und Fake News über die Untoten zu verbreiten! Verringere dein Ansehen bei den Untoten!","Прочтите это, чтобы распространять ложь и фейковые новости о нежити! Понизьте свою репутацию у нежити!"
advancedlockpicking_title,"Advanced Lock Picking By sphereii and xyth.","","Erweitertes Schlossknacken von sphereii und xyth.","Продвинутое взламывание замков от sphereii и xyth."
advancedlockpicking_desc,"Use the arrow keys to change the position of the pick locks. Then space to try to unlock. Alternatively, you can use a joystick or mouse scroll to rotate, and a click to try to turn.","","Benutze die Pfeiltasten, um die Position des Dietrichs zu ändern. Drücke dann die Leertaste, um zu versuchen, es zu öffnen. Alternativ kannst du einen Joystick oder das Mausrad zum Drehen und einen Klick zum Versuch des Drehens verwenden.","Используйте клавиши со стрелками, чтобы изменить положение отмычки. Затем нажмите пробел, чтобы попытаться открыть замок. Кроме того, вы можете использовать джойстик или колесо мыши для вращения, и щелчок, чтобы попытаться повернуть."
SpawnCube,"Spawn Cube","","Spawn-Würfel","Куб появления"
SpawnCubeDesc,"Allows Prefab builders to set up specific spawn entities via in-game programmable code:  Sign Text:  ec=npcBaker;task=wander;pc=99. Entity Class zombie Bow, with Task Wander, and PathingCode 99.","","Ermöglicht Prefab-Erstellern die Einrichtung spezifischer Spawn-Entitäten über programmierbaren In-Game-Code: Schildtext: ec=npcBaker;task=wander;pc=99. Entitätsklasse Zombie-Bogen, mit Aufgabe Wander, und PathingCode 99.","Позволяет строителям префабов настраивать определенные сущности для появления с помощью внутриигрового программируемого кода: Текст на табличке: ec=npcBaker;task=wander;pc=99. Класс сущности zombie Bow, с задачей Wander, и кодом пути 99."
loadingTipScoreSigns_title,"(SCore) Enhanced Signs","","(SCore) Verbesserte Schilder","(SCore) Улучшенные знаки"
loadingTipScoreSigns,"Enter a URL for an image or mp4, like an imgur link, in a sign's edit box to display the image on the sign! Re-Edit to change it.","","Geben Sie eine URL für ein Bild oder mp4, wie einen imgur-Link, in das Bearbeitungsfeld eines Schildes ein, um das Bild auf dem Schild anzuzeigen! Erneutes Bearbeiten, um es zu ändern.","Введите URL-адрес изображения или mp4, например, ссылку на imgur, в поле редактирования знака, чтобы отобразить изображение на знаке! Отредактируйте снова, чтобы изменить."
teleportto,"Teleport To","","Teleportieren nach","Телепортироваться к"
portal_not_configured,"Not Configured","","Nicht konfiguriert","Не настроено"
portal_configure,"Not Connected","","Nicht verbunden","Не подключено"
portalActivate, "Activate Portal","","Portal aktivieren","Активировать портал"
xuiPortalDenied,"Access Denied.","","Zugriff verweigert.","Доступ запрещен."
ObjectiveEntityAliveSDXKill_keyword,Kill {0}:,"","Töte {0}:","Убить {0}:"
teleporttoNeedPower,"Needs Power","","Benötigt Strom","Требуется энергия"
xuiPinGrab, "Broadcast","","Übertragen","Транслировать"
ObjectiveBlockDestroy_keyword,Destroy {0}:,Le Destroy {0},"Zerstöre {0}:","Уничтожить {0}:"
xuiSCoreGameOptions,"SCore","Le SCore","SCore","SCore"
goCustomAdvancedPlayerFeaturesAntiNerdPole,"Disable Nerd-Poling","Le Disable Nerd-Poling","Nerd-Poling deaktivieren","Отключить Nerd-Poling"
goCustomAdvancedPlayerFeaturesAntiNerdPoleDesc,"Disables placing blocks when jumping.","","Deaktiviert das Platzieren von Blöcken beim Springen.","Отключает размещение блоков во время прыжка."
goCustomAdvancedPlayerFeaturesVehicleNoTake,"Disable Vehicle Pickup","Le Disable Vehicle Pickup","Fahrzeugaufnahme deaktivieren","Отключить подбор транспорта"
goCustomAdvancedPlayerFeaturesVehicleNoTakeDesc,"Disables picking up vehicles","","Deaktiviert das Aufheben von Fahrzeugen","Отключает подбор транспорта"
goCustomFoodSpoilageFoodSpoilage,"Food Spoilage","","Lebensmittelverderb","Порча продуктов"
goCustomFoodSpoilageFoodSpoilageDesc,"Food Spoilage requires an additional modlet that would enable food spoilage on items.","","Lebensmittelverderb erfordert ein zusätzliches Modlet, das den Verderb von Lebensmitteln auf Gegenständen ermöglicht.","Порча продуктов требует дополнительного модлета, который включит порчу продуктов на предметах."
goCustomAdvancedPlayerFeaturesOneBlockCrouch,"Allow One Block Crouch","","Ein-Block-Ducken erlauben","Разрешить приседание в один блок"
goCustomAdvancedPlayerFeaturesOneBlockCrouchDesc,"Allows the player to crouch in 1 block openings.","","Ermöglicht dem Spieler, sich in 1-Block-Öffnungen zu ducken.","Позволяет игроку приседать в проемах высотой в 1 блок."
goCustomAdvancedPlayerFeaturesSoftHands,"Soft Hands","","Weiche Hände","Мягкие руки"
goCustomAdvancedPlayerFeaturesSoftHandsDesc,"If enabled, player will take damage when punching with bare hands","","Wenn aktiviert, erleidet der Spieler Schaden, wenn er mit bloßen Händen schlägt","Если включено, игрок будет получать урон при ударах голыми руками"
goCustomAdvancedPlayerFeaturesExtendedSigns,"Allow enhanced signs","","Verbesserte Schilder erlauben","Разрешить улучшенные знаки"
goCustomAdvancedPlayerFeaturesExtendedSignsDesc,"If enabled, allows players to place imgur links in signs to display pictures.","","Wenn aktiviert, können Spieler imgur-Links in Schilder einfügen, um Bilder anzuzeigen.","Если включено, позволяет игрокам размещать ссылки imgur на знаках для отображения изображений."
goCustomAdvancedZombieFeaturesHeadshotOnly,"Head Shot only","","Nur Kopfschuss","Только в голову"
goCustomAdvancedZombieFeaturesHeadshotOnlyDesc,"Allow zombies to only get hurt if hit in the head.","","Zombies können nur durch Kopfschüsse verletzt werden.","Разрешить урон зомби только при попадании в голову."
goCustomAdvancedZombieFeaturesRandomSize,"Random Size Zombies","","Zufällige Zombiegröße","Зомби случайного размера"
goCustomAdvancedZombieFeaturesRandomSizeDesc,"Allow zombies to be random size","","Zombies können zufällige Größen haben","Разрешить зомби иметь случайный размер"
goCustomAdvancedZombieFeaturesRandomWalk,"Random Walk types","","Zufällige Gangarten","Случайные типы ходьбы"
goCustomAdvancedZombieFeaturesRandomWalkDesc,"Allow zombies to have random walk types","","Zombies können zufällige Gangarten haben","Разрешить зомби иметь случайные типы ходьбы"
goCustomErrorHandlingNoExceptionHijack,"Hide Null Refs","","Null-Refs ausblenden","Скрыть Null Refs"
goCustomErrorHandlingNoExceptionHijackDesc,"DEBUG ONLY! If enabled, blocks null refs from dropping the console.","","NUR DEBUG! Wenn aktiviert, wird verhindert, dass Null-Refs die Konsole zum Absturz bringen.","ТОЛЬКО ДЛЯ ОТЛАДКИ! Если включено, блокирует вывод null-ссылок в консоль."
goCustomSCoreAdvanced,"Debug Only","","Nur Debug","Только для отладки"
xuiSCoreDebugGameOptions,"SCore Debug","","SCore-Debug","Отладка SCore"
goCustomThemeSpook,"Enable Spook Theme","","Spuk-Thema aktivieren","Включить тему ужасов"
goCustomThemeSpookDesc,"Enabled perpetual blood moon effects","","Aktiviert dauerhafte Blutmond-Effekte","Включает постоянные эффекты кровавой луны"
goCustomCaveConfigurationCaveEnabled,"Enable Caves","","Höhlen aktivieren","Включить пещеры"
goCustomCaveConfigurationCaveEnabledDesc,"Enable support for caves","","Unterstützung für Höhlen aktivieren","Включить поддержку пещер"
goCustomCropManagementCropEnable,"Enable Advanced Water","","Erweitertes Wasser aktivieren","Включить продвинутую воду"
goCustomCropManagementCropEnableDesc,"Enables plants requiring water, allows pipes, etc","","Aktiviert Pflanzen, die Wasser benötigen, erlaubt Rohre usw.","Включает растения, требующие воды, разрешает трубы и т.д."
goCustomFireManagementFireEnable,"Enable Fire Spreading","","Feuerverbreitung aktivieren","Включить распространение огня"
goCustomFireManagementFireEnableDesc,"Enable fire to ignore and spread to other blocks","","Ermöglicht es dem Feuer, Blöcke zu ignorieren und sich auf andere auszubreiten","Позволяет огню игнорировать и распространяться на другие блоки"
goCustomFireManagementCheckInterval,"Fire Burn Interval","","Feuer-Brennintervall","Интервал горения огня"
goCustomFireManagementCheckIntervalDesc,"How fast, in seconds, the fire will spread.","","Wie schnell, in Sekunden, sich das Feuer ausbreitet.","Как быстро, в секундах, будет распространяться огонь."
goCustomFireManagementFireDamage,"Fire Damage","","Feuerschaden","Урон от огня"
goCustomFireManagementFireDamage,"How much damage, per Check Interval, blocks take from damage.","","Wie viel Schaden Blöcke pro Prüfintervall erleiden.","Сколько урона, за интервал проверки, блоки получают от огня."
goCustomFireManagementSmokeTime,"Smoke Time","","Rauchdauer","Время дыма"
goCustomFireManagementSmokeTimeDesc,"How long smoke lasts on extinguished block.","","Wie lange Rauch auf einem gelöschten Block verbleibt.","Как долго дым держится на потушенном блоке."
goCustomCaveConfigurationCaveType,"Cave Type","","Höhlentyp","Тип пещеры"
goCustomCaveConfigurationCaveTypeDesc,"Decide what type of cave system to generate.","","Entscheiden Sie, welcher Höhlentyp generiert werden soll.","Выберите, какой тип пещерной системы генерировать."
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParser,"Verbose XML Parser","","Ausführlicher XML-Parser","Подробный XML-парсер"
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParserDesc,"Enables very verbose XML troubleshooting for some XML files.","","Aktiviert sehr ausführliche XML-Fehlerbehebung für einige XML-Dateien.","Включает очень подробную отладку XML для некоторых XML-файлов."
goCustomAdvancedTroubleshootingFeaturesPhysicsBody,"Verbose Physics Body","","Ausführlicher Physik-Körper","Подробное физическое тело"
goCustomAdvancedTroubleshootingFeaturesPhysicsBodyDesc,"Enables Physics Body troubleshooting for models","","Aktiviert die Fehlerbehebung für Physik-Körper für Modelle","Включает отладку физического тела для моделей"
goCustomAdvancedTroubleshootingFeaturesAnimatorMapper,"Animator Mapper","","Animator-Mapper","Картограф аниматора"
goCustomAdvancedTroubleshootingFeaturesAnimatorMapperDesc,"Animator Mapper","","Animator-Mapper","Картограф аниматора"
goCustomAdvancedTroubleshootingFeaturesComponentMapper,"Component Mapper","","Komponenten-Mapper","Картограф компонентов"
goCustomAdvancedTroubleshootingFeaturesComponentMapperDesc,"Shows Component Map of Entities","","Zeigt die Komponentenkarte von Entitäten an","Показывает карту компонентов сущностей"
goCustomAdvancedUIDisableXPIconNotification,"Disable XP Icon Notification","","XP-Symbol-Benachrichtigung deaktivieren","Отключить уведомление со значком опыта"
goCustomAdvancedUIDisableXPIconNotificationDesc,"Disables the XP pop up from the UI","","Deaktiviert das XP-Pop-up in der Benutzeroberfläche","Отключает всплывающее окно опыта в интерфейсе"
blockcommand_search,"Open","","Öffnen","Открыть"
npcHasItems,"NPC has items in their inventory.","","NSC hat Gegenstände im Inventar.","У NPC есть предметы в инвентаре."
xuiSCoreUtilities,"SCore Utilities","","SCore-Dienstprogramme","Утилиты SCore"
xuiSCoreNPCSettings,"NPC Settings","","NSC-Einstellungen","Настройки NPC"
xuiQuietNPC,"Mute NPC Footsteps","","NSC-Schritte stummschalten","Отключить звук шагов NPC"
xuiScoreUtilsNPCFootStep,"Mute NPC Footsteps","","NSC-Schritte stummschalten","Отключить звук шагов NPC"
xuiScoreUtilsNPCFootStepToolTip,"Mutes NPC Footsteps","","Schaltet NSC-Schritte stumm","Отключает звук шагов NPC"
xuiQuietNPCToolTip,"Mutes NPC Footsteps","","Schaltet NSC-Schritte stumm","Отключает звук шагов NPC"
xuiLockPickingSettings,"Lock Pick Settings","","Schlossknacken-Einstellungen","Настройки взлома замков"
xuiNPCSettings,"NPC Settings","","NSC-Einstellungen","Настройки NPC"
xuiLockPicking,"Enable Vanilla Lockpick","","Vanilla-Schlossknacken aktivieren","Включить ванильное взламывание"
xuiLockPickingToolTip,"Disables the Locking Mini-Game, if installed","","Deaktiviert das Schlossknacken-Minispiel, falls installiert","Отключает мини-игру по взлому замков, если она установлена"
entityaliveSDXEnemy,"You are my sworn enemy! The time to talk is past!","","Du bist mein geschworener Feind! Die Zeit des Redens ist vorbei!","Ты мой заклятый враг! Время разговоров прошло!"
entityaliveSDXEnemyNearby,"I can't talk right now. There's enemies nearby! Be Vigilant!","","Ich kann jetzt nicht reden. Es sind Feinde in der Nähe! Sei wachsam!","Я не могу сейчас говорить. Рядом враги! Будь бдителен!"
xuiSCoreFollow,"Follow Me","","Folge mir","Следуй за мной"
xuiSCoreStayHere,"Stay Here","","Bleib hier","Стой здесь"
xuiSCoreStayThere,"Stay There","","Bleib dort","Стой там"
xuiSCoreCompanions,"Companions","","Begleiter","Спутники"
xuiSCoreDismiss,"Dismiss","","Entlassen","Отпустить"
xuiSCoreOutOfRange,"NPC Out of Range.","","NSC außer Reichweite.","NPC вне зоны досягаемости."
xuiSCoreDismissing,"Dismissing NPC","","NSC wird entlassen","Отпускаю NPC"
xuiSCoreTeleport,"Come Here!","","Komm her!","Иди сюда!"
xuiSCoreGuarding,"I'm Guarding, I cannot come.","","Ich wache, ich kann nicht kommen.","Я на страже, я не могу прийти."
xuiSCoreTeleportCoolDown,"My Teleport is on Cooldown.","","Mein Teleport hat eine Abklingzeit.","Мой телепорт на перезарядке."
xuiSCoreUtilsMiniGameLockPick,"Force Lockpick MiniGame","","Schlossknacken-Minispiel erzwingen","Принудительная мини-игра по взлому"
xuiSCoreUtilsMiniGameLockPickToolTip,"Force Lockpick MiniGame, even if you have a controller.","","Erzwingt das Schlossknacken-Minispiel, auch wenn Sie einen Controller haben.","Принудительно запускает мини-игру по взлому, даже если у вас есть контроллер."
xuiTraderSettings,"Trader Settings","","Händler-Einstellungen","Настройки торговца"
xuiSCoreUtilsTraderRektToolTip,"Mutes Trader Rekt","","Schaltet Händler Rekt stumm","Отключает звук Трейдера Ректа"
xuiSCoreUtilsTraderRekt,"Mute Trader Rekt","","Händler Rekt stummschalten","Отключить звук Трейдера Ректа"
xuiSCoreUtilsTraderAll,"Mute All Traders.","","Alle Händler stummschalten.","Отключить звук всех торговцев."
xuiSCoreUtilsTraderAllToolTip,"Mutes All the Traders.","","Schaltet alle Händler stumm.","Отключает звук всех торговцев."
xuiSCoreUtilsDisableFlickeringLights,"Disable Flickering Lights","","Flackernde Lichter deaktivieren","Отключить мерцающие огни"
xuiSCoreUtilsDisableFlickeringLightsToolTip,"Disables Flickering Lights.","","Deaktiviert flackernde Lichter.","Отключает мерцающие огни."
xuiPersonalSettings,"Personal Settings","","Persönliche Einstellungen","Личные настройки"
xuiSCoreUtilsAutoRedeemChallenges,"Auto Redeem Challenges","","Herausforderungen automatisch einlösen","Автоматически выполнять испытания"
xuiSCoreUtilsAutoRedeemChallengesToolTip,"Auto Redeem Challenges as they complete.","","Löst Herausforderungen automatisch ein, sobald sie abgeschlossen sind.","Автоматически выполнять испытания по мере их завершения."
ObjectiveBuffSDX_keyword,"Get","","Erhalten","Получить"
ItemCannotBePlaced,"This item cannot go into this slot.","","Dieser Gegenstand kann nicht in diesen Slot gelegt werden.","Этот предмет нельзя поместить в этот слот."
npcNoStorage,"NPCs Cannot Be Placed In Storage.","","NSCs können nicht im Lager platziert werden.","NPC нельзя поместить в хранилище."
buffFreshnessSCoreName,"Fresh Food","","Frisches Essen","Свежая еда"
buffFreshnessSCore,"Fresh Food!","","Frisches Essen!","Свежая еда!"
buffFreshnessSCoreDesc,"Warm food and drink warms the soul!","","Warmes Essen und Trinken wärmt die Seele!","Теплая еда и напитки согревают душу!"
TooDamagedToSharpen,"This item is too worn out to be resharpened.","","Dieser Gegenstand ist zu abgenutzt, um nachgeschärft zu werden.","Этот предмет слишком изношен, чтобы его можно было заточить."
NotDamagedEnoughToSharpen,"This item is still in pretty good shape.","","Dieser Gegenstand ist noch in ziemlich gutem Zustand.","Этот предмет все еще в довольно хорошем состоянии."
xuiSCoreUtilsWeaponSway,"Disable Weapon Sway","","Waffenschwanken deaktivieren","Отключить качание оружия"
xuiSCoreUtilsWeaponSwayToolTip,"Toggles weapon and camera bob and sway to help against motion sickness","","Schaltet Waffen- und Kamerawackeln und -schwanken um, um gegen Reisekrankheit zu helfen","Переключает качание оружия и камеры, чтобы помочь при укачивании"
xuiSCoreUtilsMemoryBudget,"Run GFX st budget 0 on game load","","GFX st budget 0 beim Laden des Spiels ausführen","Запускать GFX st budget 0 при загрузке игры"
xuiSCoreUtilsMemoryBudgetToolTip,"Automatically sets the GFX st budget 0 when you enter a game. Effective on next game start.","","Setzt automatisch das GFX st budget 0, wenn Sie ein Spiel betreten. Wirksam beim nächsten Spielstart.","Автоматически устанавливает GFX st budget 0 при входе в игру. Действует со следующего запуска игры."
xuiSCoreUtilsPPEnable,"Run GFX pp enable 0 on game load","","GFX pp enable 0 beim Laden des Spiels ausführen","Запускать GFX pp enable 0 при загрузке игры"
xuiSCoreUtilsPPEnableToolTip,"Automatically sets the GFX pp enable 0  when you enter a game. Effective on next game start.","","Setzt automatisch GFX pp enable 0, wenn Sie ein Spiel betreten. Wirksam beim nächsten Spielstart.","Автоматически устанавливает GFX pp enable 0 при входе в игру. Действует со следующего запуска игры."
xuiCraftFromContainersSCore,"Enemies are nearby! Remote repairing is disabled!","","Feinde sind in der Nähe! Fernreparatur ist deaktiviert!","Враги рядом! Удаленный ремонт отключен!"
ChallengeObjectiveCompleteQuestStealth,"Clear a quest with stealth only.","","Eine Quest nur mit Schleichen abschließen.","Пройти квест только в скрытном режиме."
challengeObjectiveKillWithItem,"Kill [] Zombies","","Töte [] Zombies","Убить [] зомби"
challengeObjectiveStealthKillStreak,"Kill [] Zombies in a kill streak","","Töte [] Zombies in einer Kill-Serie","Убить [] зомби в серии убийств"
challengeObjectiveDecapitation,"Decapacitate [] zombies.","","Enthaupte [] Zombies.","Обезглавить [] зомби."
challengeObjectiveWith,"with a","","mit einem","с помощью"
itemWithTags,"tags ","","Tags ","теги "
perceptionChallenges_key,"Perception Challenges","","Wahrnehmungs-Herausforderungen","Испытания восприятия"
strengthChallenges_key,"Strength Challenges","","Stärke-Herausforderungen","Испытания силы"
fortitudeChallenges_key,"Fortitude Challenges","","Zähigkeits-Herausforderungen","Испытания стойкости"
agilityChallenges_key,"Agility Challenges","","Beweglichkeits-Herausforderungen","Испытания ловкости"
intellectChallenges_key,"Intellect Challenges","","Intelligenz-Herausforderungen","Испытания интеллекта"
bonusChallenges_key,"Bonus Challenge Group","","Bonus-Herausforderungsgruppe","Бонусная группа испытаний"
pistols_challenges,"Pipe Pistol, Pistol, or SMG","","Rohrpistole, Pistole oder SMG","Самодельный пистолет, пистолет или пистолет-пулемет"
crossbow_challenges,"Any crossbow","","Jede Armbrust","Любой арбалет"
turrent_challenges,"Auto Turret or Shotgun Turret","","Auto-Geschützturm oder Schrotflinten-Geschützturm","Автоматическая турель или дробовиковая турель"
challengePlaceElectricFencePost,"Place Electric Fencepost","","Elektrischen Zaunpfosten platzieren","Разместить электрический столб для забора"
challengePlaceelectricwirerelay,"Place Electric Relay","","Elektrisches Relais platzieren","Разместить электрическое реле"
meleeSneakChallenge,"Melee Sneak Challenge","","Nahkampf-Schleich-Herausforderung","Испытание скрытного ближнего боя"
meleeSneakChallengeDesc,"Kill any zombie with melee weapon while sneaking.","","Töte einen Zombie mit einer Nahkampfwaffe im Schleichmodus.","Убейте любого зомби оружием ближнего боя в режиме скрытности."
rangedGunSneakChallenge,"Gun Sneak Challenge","","Schusswaffen-Schleich-Herausforderung","Испытание скрытной стрельбы"
rangedGunSneakChallengeDesc,"Kill any zombie with any guns while sneaking.","","Töte einen Zombie mit einer beliebigen Schusswaffe im Schleichmodus.","Убейте любого зомби из любого оружия в режиме скрытности."
rangedSneakChallenge,"Ranged Sneak Challenge","","Fernkampf-Schleich-Herausforderung","Испытание скрытной дальней атаки"
rangedSneakChallengeDesc,"Kill any zombies with any ranged weapons.","","Töte Zombies mit beliebigen Fernkampfwaffen.","Убейте любых зомби из любого дальнобойного оружия."
killzombieswithstealthStreak,"Sneak Kill Streak","","Schleich-Kill-Serie","Серия скрытных убийств"
killzombieswithstealthStreakDesc,"Kill multiple zombies with sneak damage in a row.","","Töte mehrere Zombies hintereinander mit Schleichschaden.","Убейте несколько зомби подряд, используя урон в скрытности."
killzombieswithstealthStreakBow,"Kill Streak using a bow while sneaking","","Kill-Serie mit einem Bogen im Schleichmodus","Серия убийств из лука в режиме скрытности"
killzombieswithstealthStreakBowDesc,"Kill multiple zombies in a row with a bow while sneaking.","","Töte mehrere Zombies hintereinander mit einem Bogen im Schleichmodus.","Убейте несколько зомби подряд из лука в режиме скрытности."
killzombieswithstealthStreakKnife,"Kill Streak using a Knife while sneaking.","","Kill-Serie mit einem Messer im Schleichmodus.","Серия убийств ножом в режиме скрытности."
killzombieswithstealthStreakKnifeDesc,"Kill multiple zombies in a row with a knife while sneaking.","","Töte mehrere Zombies hintereinander mit einem Messer im Schleichmodus.","Убейте несколько зомби подряд ножом в режиме скрытности."
killzombieswithstealthStreakClub,"Kill Streak using a club while sneaking.","","Kill-Serie mit einer Keule im Schleichmodus.","Серия убийств дубиной в режиме скрытности."
killzombieswithstealthStreakClubDesc,"Kill multiple zombies in a row with a club while sneaking.","","Töte mehrere Zombies hintereinander mit einer Keule im Schleichmodus.","Убейте несколько зомби подряд дубиной в режиме скрытности."
killzombieswithstealthStreakSpear,"Kill Streak using a spear while sneaking.","","Kill-Serie mit einem Speer im Schleichmodus.","Серия убийств копьем в режиме скрытности."
killzombieswithstealthStreakSpearDesc,"Kill multiple zombies in a row with a spear while sneaking.","","Töte mehrere Zombies hintereinander mit einem Speer im Schleichmodus.","Убейте несколько зомби подряд копьем в режиме скрытности."
SCore01challenges_key,"SCore 01 Challenges","","SCore 01 Herausforderungen","Испытания SCore 01"
decap_title,"Decapitate","","Enthaupten","Обезглавить"
challengeDecapZombies,"Decapitate Zombies","","Zombies enthaupten","Обезглавить зомби"
craftWithIngredient,"Craft using the ingredient","","Herstellen mit der Zutat","Создать с использованием ингредиента"
craftWith01_title,"Craft With Legendary Parts","","Herstellen mit legendären Teilen","Создать с легендарными деталями"
craftWith01Short,"Craft any recipe with Legendary Parts","","Stelle ein beliebiges Rezept mit legendären Teilen her","Создайте любой рецепт с легендарными деталями"
craftWith02_title,"Craft With Wood","","Herstellen mit Holz","Создать с древесиной"
craftWith02Short,"Craft any recipe with Wood","","Stelle ein belieбиges Rezept mit Holz her","Создайте любой рецепт с древесиной"
onblockDestroyedByFire,"Blocks destroyed by the Fire mod.","","Blöcke, die durch den Feuermod zerstört wurden.","Блоки, уничтоженные модом Огонь."
BurnWithFire01,"Burn a building down.","","Ein Gebäude niederbrennen.","Сжечь здание."
BurnWithFire01Desc,"Allow a building to catch fire and burn down.","","Lassen Sie ein Gebäude Feuer fangen und niederbrennen.","Позвольте зданию загореться и сгореть."
onblockDestroyed,"Destroy block","","Block zerstören","Уничтожить блок"
BreakBlock01,"Destroy a Retro Refrigerator ( closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock01Short,"Destroy a retro refrigerator (closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock02,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock02Short,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock03,"Destroy a Retro Refrigerator ( closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock03Short,"Destroy a retro refrigerator (closed ) in any poi within the pine forest","","Zerstöre einen Retro-Kühlschrank (geschlossen) in einem beliebigen POI im Kiefernwald","Уничтожьте ретро-холодильник (закрытый) в любом POI в сосновом лесу"
BreakBlock04,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock04Short,"Destroy any metal block in the pine forest","","Zerstöre einen beliebigen Metallblock im Kiefernwald","Уничтожьте любой металлический блок в сосновом лесу"
SCore02challenges_key,"Fire Bug","","Feuerwanze","Огненный жук"
onStartFire,"Start a Fire","","Ein Feuer starten","Разжечь огонь"
BurnWithFire02,"Start a fire","","Ein Feuer starten","Разжечь огонь"
BurnWithFire02Desc,"Start a fire with the Fire Mod active.","","Starte ein Feuer mit dem aktiven Feuermod.","Разжечь огонь с активным модом Огонь."
onBigFire,"Start an out of control fire","","Ein unkontrolliertes Feuer starten","Разжечь неконтролируемый пожар"
onBigFireDesc,"Start a large, out of control fire","","Starte ein großes, unkontrolliertes Feuer","Разжечь большой, неконтролируемый пожар"
onExtinguish,"Extinguish a fire","","Ein Feuer löschen","Потушить огонь"
onExtinguishDesc,"Extinguish a fire with the Fire Mod active.","","Lösche ein Feuer mit dem aktiven Feuermod.","Потушите огонь с активным модом Огонь."
onHireNPC,"Hire an NPC","","Einen NSC anheuern","Нанять NPC"
NPCchallenges_key,"NPC Challenges","","NSC-Herausforderungen","Испытания NPC"
hireNPCs,"Hire NPCs","","NSCs anheuern","Нанять NPC"
hireNPCsNurse,"Hire a Nurse with a Knife","","Heuere eine Krankenschwester mit einem Messer an","Нанять медсестру с ножом"
hireNPCsMale,"Hire a male NPC","","Einen männlichen NSC anheuern","Нанять мужчину NPC"
hireNPCsFemale,"Hire a female NPC","","Einen weiblichen NSC anheuern","Нанять женщину NPC"
hireNPCsMaleBurnt,"Hire a Male NPC in the burnt forest","","Heuere einen männlichen NSC im verbrannten Wald an","Нанять мужчину NPC в сгоревшем лесу"
hireNPCsFemaleWithItem,"Hire a female holding goldenrod flower","","Heuere eine Frau an, die eine Goldrutenblume hält","Нанять женщину, держащую цветок золотарника"
