Key,english
perkPenetratorLeveledUp,"The Penetrator has leveled up!"
perkTreasureHunterLeveledUp,"Treasure Hunter has leveled up!"
perkSalvageOperationsLeveledUp,"Salvage Operations has leveled up!"
perkPerceptionMasteryLeveledUp,"Perception Mastery has leveled up!"
perkBoomstickLeveledUp,"Boomstick has leveled up!"
perkPummelPeteLeveledUp,"Pummel Pete has leveled up!"
perkSkullCrusherLeveledUp,"Skull Crusher has leveled up!"
perkGrandSlamLeveledUp,"Grand Slam has leveled up!"
perkFlurryOfStrengthLeveledUp,"Flurry of Strength has leveled up!"
perkPackMuleLeveledUp,"Pack Mule has leveled up!"
perkStrengthMasteryLeveledUp,"Strength Mastery has leveled up!"
perkMiner69rLeveledUp,"Miner 69'r has leveled up!"
perkMotherLodeLeveledUp,"Mother Lode has leveled up!"
perkJunkMinerLeveledUp,"Junk Miner has leveled up!"
perkBrawlerLeveledUp,"The Brawler has leveled up!"
perkMachineGunnerLeveledUp,"Machine Gunner has leveled up!"
perkFlurryOfFortitudeLeveledUp,"Flurry of Fortitude has leveled up!"
perkTheHuntsmanLeveledUp,"The Huntsman has leveled up!"
perkPainToleranceLeveledUp,"Pain Tolerance has leveled up!"
perkHealingFactorLeveledUp,"Healing Factor has leveled up!"
perkSlowMetabolismLeveledUp,"Slow Metabolism has leveled up!"
perkRuleOneCardioLeveledUp,"Rule #1: Cardio has leveled up!"
perkFortitudeMasteryLeveledUp,"Fortitude Mastery has leveled up!"
perkSiphoningStrikesLeveledUp,"Siphoning Strikes has leveled up!"
perkArcheryLeveledUp,"Archery has leveled up!"
perkGunslingerLeveledUp,"Gunslinger has leveled up!"
perkDeepCutsLeveledUp,"Deep Cuts has leveled up!"
perkFlurryOfAgilityLeveledUp,"Flurry of Agility has leveled up!"
perkRunAndGunLeveledUp,"Run and Gun has leveled up!"
perkHardTargetLeveledUp,"Hard Target has leveled up!"
perkParkourLeveledUp,"Parkour has leveled up!"
perkAgilityMasteryLeveledUp,"Agility Mastery has leveled up!"
perkHiddenStrikeLeveledUp,"Hidden Strike has leveled up!"
perkFromTheShadowsLeveledUp,"From the Shadows has leveled up!"
perkElectrocutionerLeveledUp,"Electrocutioner has leveled up!"
perkTurretsLeveledUp,"Robotic Turrets has leveled up!"
perkFlurryOfIntellectLeveledUp,"Flurry of Intellect has leveled up!"
perkBetterBarterLeveledUp,"Better Barter has leveled up!"
perkDaringAdventurerLeveledUp,"Daring Adventurer has leveled up!"
perkCharismaticNatureLeveledUp,"Charismatic Nature has leveled up!"
perkPhysicianLeveledUp,"Physician has leveled up!"
perkAdvancedEngineeringLeveledUp,"Advanced Engineering has leveled up!"
perkGreaseMonkeyLeveledUp,"Grease Monkey has leveled up!"
perkIntellectMasteryLeveledUp,"Intellect Mastery has leveled up!"
perkMasterChefLeveledUp,"Master Chef has leveled up!"
perkLivingOffTheLandLeveledUp,"Living Off the Land has leveled up!"
perkLockPickingLeveledUp,"Lock Picking has leveled up!"
perkLuckyLooterLeveledUp,"Lucky Looter has leveled up!"
perkLightArmorLeveledUp,"Light Armor has leveled up!"
perkMediumArmorLeveledUp,"Medium Armor has leveled up!"
perkHeavyArmorLeveledUp,"Heavy Armor has leveled up!"
