Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
foodCanPearsFrozen,items,Food,newKey,"Frozen Can of Pears",,,,,
foodCanSoupFrozen,items,Food,newKey,"Frozen Chicken Soup",,,,,
foodCanStockFrozen,items,Food,newKey,"Frozen Can of Stock",,,,,
foodCornOnTheCobFrozen,items,Food,newKey,"Frozen Corn on the Cob",,,,,
foodCornBreadFrozen,items,Food,newKey,"Frozen Corn Bread",,,,,
foodMoldyBreadFrozen,items,Food,newKey,"Frozen Moldy Bread",,,,,
foodShamSandwichFrozen,items,Food,newKey,"Frozen Old Sham Sandwich",,,,,
foodCharredMeatFrozen,items,Food,newKey,"Frozen Charred Meat",,,,,
foodGrilledMeatFrozen,items,Food,newKey,"Frozen Grilled Meat",,,,,
foodBoiledMeatFrozen,items,Food,newKey,"Frozen Boiled Meat",,,,,
foodMeatStewFrozen,items,Food,newKey,"Frozen Meat Stew",,,,,
foodSteakAndPotatoFrozen,items,Food,newKey,"Frozen Steak and Potato Meal",,,,,
foodShamChowderFrozen,items,Food,newKey,"Frozen Sham Chowder",,,,,
foodHoboStewFrozen,items,Food,newKey,"Frozen Hobo Stew",,,,,
foodFishTacosFrozen,items,Food,newKey,"Frozen Fish Tacos",,,,,
foodChiliDogFrozen,items,Food,newKey,"Frozen Chili Dog",,,,,
foodBakedPotatoFrozen,items,Food,newKey,"Frozen Baked Potato",,,,,
foodBlueberryPieFrozen,items,Food,newKey,"Frozen Blueberry Pie",,,,,
foodPumpkinPieFrozen,items,Food,newKey,"Frozen Pumpkin Pie",,,,,
foodPumpkinCheesecakeFrozen,items,Food,newKey,"Frozen Pumpkin Cheesecake",,,,,
foodPumpkinBreadFrozen,items,Food,newKey,"Frozen Pumpkin Bread",,,,,
foodEggBoiledFrozen,items,Food,newKey,"Frozen Boiled Egg",,,,,
foodBaconAndEggsFrozen,items,Food,newKey,"Frozen Bacon and Eggs",,,,,
foodVegetableStewFrozen,items,Food,newKey,"Frozen Vegetable Stew",,,,,
foodRawMeatFrozen,items,Food,newKey,"Frozen Raw Meat",,,,,
foodRottingFleshFrozen,items,Food,newKey,"Frozen Rotting Flesh",,,,,
foodEggFrozen,items,Food,newKey,"Frozen Egg",,,,,
foodCornMealFrozen,items,Food,newKey,"Frozen Cornmeal",,,,,
foodCropBlueberriesFrozen,items,Food,newKey,"Frozen Blueberries",,,,,
foodCropCornFrozen,items,Food,newKey,"Frozen Ear of Corn",,,,,
foodCropGraceCornFrozen,items,Food,newKey,"Frozen Ear of Super Corn",,,,,
foodCropPotatoFrozen,items,Food,newKey,"Frozen Potato",,,,,
foodCropMushroomsFrozen,items,Food,newKey,"Frozen Mushrooms",,,,,
foodCropYuccaFruitFrozen,items,Food,newKey,"Frozen Yucca Fruit",,,,,
foodCropPumpkinFrozen,items,Food,newKey,"Frozen Pumpkin",,,,,
Berry TeaFrozen,items,Food,newKey,"Frozen Berry Tea",,,,,
Iced Mixed TeaFrozen,items,Food,newKey,"Frozen Iced Mixed Tea",,,,,
Iced CoffeeFrozen,items,Food,newKey,"Frozen Iced Coffee",,,,,
Yucca ChipsFrozen,items,Food,newKey,"Frozen Yucca Chips",,,,,
HashbrownFrozen,items,Food,newKey,"Frozen Hashbrown",,,,,
Mashed PotatoFrozen,items,Food,newKey,"Frozen Mashed Potato",,,,,
Corn GritsFrozen,items,Food,newKey,"Frozen Corn Grits",,,,,
Blueberry JamFrozen,items,Food,newKey,"Frozen Blueberry Jam",,,,,
Yucca JamFrozen,items,Food,newKey,"Frozen Yucca Jam",,,,,
Egg SaladFrozen,items,Food,newKey,"Frozen Egg Salad",,,,,
Fried MeatFrozen,items,Food,newKey,"Frozen Fried Meat",,,,,
Corn ChipsFrozen,items,Food,newKey,"Frozen Corn Chips",,,,,
Blueberry Jam SandwichFrozen,items,Food,newKey,"Frozen Blueberry Jam Sandwich",,,,,
Yucca Jam SandwichFrozen,items,Food,newKey,"Frozen Yucca Jam Sandwich",,,,,
Clay Roasted MeatFrozen,items,Food,newKey,"Frozen Clay Roasted Meat",,,,,
Coffee CakeFrozen,items,Food,newKey,"Frozen Coffee Cake",,,,,
Mushroom PieFrozen,items,Food,newKey,"Frozen Mushroom Pie",,,,,
Meat and Beer PieFrozen,items,Food,newKey,"Frozen Meat and Beer Pie",,,,,
Fried MushroomsFrozen,items,Food,newKey,"Frozen Fried Mushrooms",,,,,
Fried EggFrozen,items,Food,newKey,"Frozen Fried Egg",,,,,
French ToastFrozen,items,Food,newKey,"Frozen French Toast",,,,,
Honey Glazed MeatFrozen,items,Food,newKey,"Frozen Honey Glazed Meat",,,,,
Blueberry SodaFrozen,items,Food,newKey,"Frozen Blueberry Soda",,,,,
Kvass SodaFrozen,items,Food,newKey,"Frozen Kvass Soda",,,,,
Carbonated WaterFrozen,items,Food,newKey,"Frozen Carbonated Water",,,,,
Distilled VodkaFrozen,items,Food,newKey,"Frozen Distilled Vodka",,,,,
Snowberry GinFrozen,items,Food,newKey,"Frozen Snowberry Gin",,,,,
Sugar ExtractFrozen,items,Food,newKey,"Frozen Sugar Extract",,,,,
Rock CandyFrozen,items,Food,newKey,"Frozen Rock Candy",,,,,
Blueberry CandyFrozen,items,Food,newKey,"Frozen Blueberry Candy",,,,,
Snowberry CandyFrozen,items,Food,newKey,"Frozen Snowberry Candy",,,,,
Plain FudgeFrozen,items,Food,newKey,"Frozen Plain Fudge",,,,,
Energy TabletFrozen,items,Food,newKey,"Frozen Energy Tablet",,,,,
Sponge CakeFrozen,items,Food,newKey,"Frozen Sponge Cake",,,,,
Blueberry Sponge CakeFrozen,items,Food,newKey,"Frozen Blueberry Sponge Cake",,,,,
Yucca Sponge CakeFrozen,items,Food,newKey,"Frozen Yucca Sponge Cake",,,,,
Custard PieFrozen,items,Food,newKey,"Frozen Custard Pie",,,,,
foodHoneyFoil,items,Food,--,Insulated Jar of Honey,,,,,
foodHoneyThermos,items,Food,--,Insulated Jar of Honey,,,,,
foodFoilDesc,items,Medical,--,"This looks like it's frozen solid. I'll have to thaw it before I can use it.",,,,,
foodThermosDesc,items,Medical,--,"This looks like it's frozen solid. I'll have to thaw it before I can use it.",,,,,
drinkCanMegaCrushFoil,items,Food,newKey,Insulated Mega Crush,,,,,
drinkCanMegaCrushThermos,items,Food,newKey,Insulated Mega Crush,,,,,
drinkJarBeerFoil,items,Food,--,Insulated Beer,Bière,Bier,,Cerveza,
drinkJarBeerThermos,items,Food,--,Insulated Beer,Bière,Bier,,Cerveza,
drinkJarBlackStrapCoffeeFoil,items,Food,newKey,Insulated Blackstrap Coffee,,,,,
drinkJarBlackStrapCoffeeThermos,items,Food,newKey,Insulated Blackstrap Coffee,,,,,
drinkJarBoiledWaterFoil,items,Food,--,Insulated Bottled Water,Eau en bouteille,Flasche Wasser,,Agua embotellada,
drinkJarBoiledWaterThermos,items,Food,--,Insulated Bottled Water,Eau en bouteille,Flasche Wasser,,Agua embotellada,
drinkJarCoffeeFoil,items,Food,--,Insulated Coffee,Café,Kaffee,,Café,
drinkJarCoffeeThermos,items,Food,--,Insulated Coffee,Café,Kaffee,,Café,
drinkJarGoldenRodTeaFoil,items,Food,--,Insulated Goldenrod Tea,Thé à verge d'or,Goldrutentee,,Té de vara de oro,
drinkJarGoldenRodTeaThermos,items,Food,--,Insulated Goldenrod Tea,Thé à verge d'or,Goldrutentee,,Té de vara de oro,
drinkJarPureMineralWaterFoil,items,Food,newKey,Insulated Pure Mineral Water,,,,,
drinkJarPureMineralWaterThermos,items,Food,newKey,Insulated Pure Mineral Water,,,,,
drinkJarRedTeaFoil,items,Food,--,Insulated Red Tea,Thé rouge,Roter Tee,,Té rojo,
drinkJarRedTeaThermos,items,Food,--,Insulated Red Tea,Thé rouge,Roter Tee,,Té rojo,
drinkJarRiverWaterFoil,items,Food,--,Insulated Bottled Murky Water,Eau trouble en bouteille,Flasche trübes Wasser,,Agua turbia embotellada,
drinkJarRiverWaterThermos,items,Food,--,Insulated Bottled Murky Water,Eau trouble en bouteille,Flasche trübes Wasser,,Agua turbia embotellada,
drinkJarYuccaJuiceFoil,items,Food,--,Insulated Yucca Juice,Jus de yucca,Yucca-Saft,,Jugo de yuca,
drinkJarYuccaJuiceThermos,items,Food,--,Insulated Yucca Juice,Jus de yucca,Yucca-Saft,,Jugo de yuca,
drinkYuccaJuiceSmoothieFoil,items,Food,newKey,FoilYucca Juice Smoothie,,,,,
drinkYuccaJuiceSmoothieThermos,items,Food,newKey,ThermosYucca Juice Smoothie,,,,,
foodCanBeefFoil,items,Food,newKey,"Insulated Large Beef Ration",,,,,
foodCanBeefThermos,items,Food,newKey,"Insulated Large Beef Ration",,,,,
foodCanChickenFoil,items,Food,newKey,"Insulated Chicken Ration",,,,,
foodCanChickenThermos,items,Food,newKey,"Insulated Chicken Ration",,,,,
foodCanLambFoil,items,Food,newKey,"Insulated Lamb Rations",,,,,
foodCanLambThermos,items,Food,newKey,"Insulated Lamb Rations",,,,,
foodCanCatfoodFoil,items,Food,newKey,"Insulated Can of Cat Food",,,,,
foodCanCatfoodThermos,items,Food,newKey,"Insulated Can of Cat Food",,,,,
foodCanDogfoodFoil,items,Food,newKey,"Insulated Can of Dog Food",,,,,
foodCanDogfoodThermos,items,Food,newKey,"Insulated Can of Dog Food",,,,,
foodCanChiliFoil,items,Food,newKey,"Insulated Can of Chili",,,,,
foodCanChiliThermos,items,Food,newKey,"Insulated Can of Chili",,,,,
foodCanTunaFoil,items,Food,newKey,"Insulated Can of Tuna",,,,,
foodCanTunaThermos,items,Food,newKey,"Insulated Can of Tuna",,,,,
foodCanShamFoil,items,Food,newKey,"Insulated Can of Sham",,,,,
foodCanShamThermos,items,Food,newKey,"Insulated Can of Sham",,,,,
foodCanPastaFoil,items,Food,newKey,"Insulated Can of Pasta",,,,,
foodCanPastaThermos,items,Food,newKey,"Insulated Can of Pasta",,,,,
foodCanSalmonFoil,items,Food,newKey,"Insulated Can of Salmon",,,,,
foodCanSalmonThermos,items,Food,newKey,"Insulated Can of Salmon",,,,,
foodCanMisoFoil,items,Food,newKey,"Insulated Can of Miso",,,,,
foodCanMisoThermos,items,Food,newKey,"Insulated Can of Miso",,,,,
foodCanPeasFoil,items,Food,newKey,"Insulated Can of Peas",,,,,
foodCanPeasThermos,items,Food,newKey,"Insulated Can of Peas",,,,,
foodCanPearsFoil,items,Food,newKey,"Insulated Can of Pears",,,,,
foodCanPearsThermos,items,Food,newKey,"Insulated Can of Pears",,,,,
foodCanSoupFoil,items,Food,newKey,"Insulated Chicken Soup",,,,,
foodCanSoupThermos,items,Food,newKey,"Insulated Chicken Soup",,,,,
foodCanStockFoil,items,Food,newKey,"Insulated Can of Stock",,,,,
foodCanStockThermos,items,Food,newKey,"Insulated Can of Stock",,,,,
foodCornOnTheCobFoil,items,Food,newKey,"Insulated Corn on the Cob",,,,,
foodCornOnTheCobThermos,items,Food,newKey,"Insulated Corn on the Cob",,,,,
foodCornBreadFoil,items,Food,newKey,"Insulated Corn Bread",,,,,
foodCornBreadThermos,items,Food,newKey,"Insulated Corn Bread",,,,,
foodMoldyBreadFoil,items,Food,newKey,"Insulated Moldy Bread",,,,,
foodMoldyBreadThermos,items,Food,newKey,"Insulated Moldy Bread",,,,,
foodShamSandwichFoil,items,Food,newKey,"Insulated Old Sham Sandwich",,,,,
foodShamSandwichThermos,items,Food,newKey,"Insulated Old Sham Sandwich",,,,,
foodCharredMeatFoil,items,Food,newKey,"Insulated Charred Meat",,,,,
foodCharredMeatThermos,items,Food,newKey,"Insulated Charred Meat",,,,,
foodGrilledMeatFoil,items,Food,newKey,"Insulated Grilled Meat",,,,,
foodGrilledMeatThermos,items,Food,newKey,"Insulated Grilled Meat",,,,,
foodBoiledMeatFoil,items,Food,newKey,"Insulated Boiled Meat",,,,,
foodBoiledMeatThermos,items,Food,newKey,"Insulated Boiled Meat",,,,,
foodMeatStewFoil,items,Food,newKey,"Insulated Meat Stew",,,,,
foodMeatStewThermos,items,Food,newKey,"Insulated Meat Stew",,,,,
foodSteakAndPotatoFoil,items,Food,newKey,"Insulated Steak and Potato Meal",,,,,
foodSteakAndPotatoThermos,items,Food,newKey,"Insulated Steak and Potato Meal",,,,,
foodShamChowderFoil,items,Food,newKey,"Insulated Sham Chowder",,,,,
foodShamChowderThermos,items,Food,newKey,"Insulated Sham Chowder",,,,,
foodHoboStewFoil,items,Food,newKey,"Insulated Hobo Stew",,,,,
foodHoboStewThermos,items,Food,newKey,"Insulated Hobo Stew",,,,,
foodFishTacosFoil,items,Food,newKey,"Insulated Fish Tacos",,,,,
foodFishTacosThermos,items,Food,newKey,"Insulated Fish Tacos",,,,,
foodChiliDogFoil,items,Food,newKey,"Insulated Chili Dog",,,,,
foodChiliDogThermos,items,Food,newKey,"Insulated Chili Dog",,,,,
foodBakedPotatoFoil,items,Food,newKey,"Insulated Baked Potato",,,,,
foodBakedPotatoThermos,items,Food,newKey,"Insulated Baked Potato",,,,,
foodBlueberryPieFoil,items,Food,newKey,"Insulated Blueberry Pie",,,,,
foodBlueberryPieThermos,items,Food,newKey,"Insulated Blueberry Pie",,,,,
foodPumpkinPieFoil,items,Food,newKey,"Insulated Pumpkin Pie",,,,,
foodPumpkinPieThermos,items,Food,newKey,"Insulated Pumpkin Pie",,,,,
foodPumpkinCheesecakeFoil,items,Food,newKey,"Insulated Pumpkin Cheesecake",,,,,
foodPumpkinCheesecakeThermos,items,Food,newKey,"Insulated Pumpkin Cheesecake",,,,,
foodPumpkinBreadFoil,items,Food,newKey,"Insulated Pumpkin Bread",,,,,
foodPumpkinBreadThermos,items,Food,newKey,"Insulated Pumpkin Bread",,,,,
foodEggBoiledFoil,items,Food,newKey,"Insulated Boiled Egg",,,,,
foodEggBoiledThermos,items,Food,newKey,"Insulated Boiled Egg",,,,,
foodBaconAndEggsFoil,items,Food,newKey,"Insulated Bacon and Eggs",,,,,
foodBaconAndEggsThermos,items,Food,newKey,"Insulated Bacon and Eggs",,,,,
foodVegetableStewFoil,items,Food,newKey,"Insulated Vegetable Stew",,,,,
foodVegetableStewThermos,items,Food,newKey,"Insulated Vegetable Stew",,,,,
foodRawMeatFoil,items,Food,newKey,"Insulated Raw Meat",,,,,
foodRawMeatThermos,items,Food,newKey,"Insulated Raw Meat",,,,,
foodRottingFleshFoil,items,Food,newKey,"Insulated Rotting Flesh",,,,,
foodRottingFleshThermos,items,Food,newKey,"Insulated Rotting Flesh",,,,,
foodEggFoil,items,Food,newKey,"Insulated Egg",,,,,
foodEggThermos,items,Food,newKey,"Insulated Egg",,,,,
foodCornMealFoil,items,Food,newKey,"Insulated Cornmeal",,,,,
foodCornMealThermos,items,Food,newKey,"Insulated Cornmeal",,,,,
foodCropBlueberriesFoil,items,Food,newKey,"Insulated Blueberries",,,,,
foodCropBlueberriesThermos,items,Food,newKey,"Insulated Blueberries",,,,,
foodCropCornFoil,items,Food,newKey,"Insulated Ear of Corn",,,,,
foodCropCornThermos,items,Food,newKey,"Insulated Ear of Corn",,,,,
foodCropGraceCornFoil,items,Food,newKey,"Insulated Ear of Super Corn",,,,,
foodCropGraceCornThermos,items,Food,newKey,"Insulated Ear of Super Corn",,,,,
foodCropPotatoFoil,items,Food,newKey,"Insulated Potato",,,,,
foodCropPotatoThermos,items,Food,newKey,"Insulated Potato",,,,,
foodCropMushroomsFoil,items,Food,newKey,"Insulated Mushrooms",,,,,
foodCropMushroomsThermos,items,Food,newKey,"Insulated Mushrooms",,,,,
foodCropYuccaFruitFoil,items,Food,newKey,"Insulated Yucca Fruit",,,,,
foodCropYuccaFruitThermos,items,Food,newKey,"Insulated Yucca Fruit",,,,,
foodCropPumpkinFoil,items,Food,newKey,"Insulated Pumpkin",,,,,
foodCropPumpkinThermos,items,Food,newKey,"Insulated Pumpkin",,,,,
Berry TeaFoil,items,Food,newKey,"Insulated Berry Tea",,,,,
Berry TeaThermos,items,Food,newKey,"Insulated Berry Tea",,,,,
Iced Mixed TeaFoil,items,Food,newKey,"Insulated Iced Mixed Tea",,,,,
Iced Mixed TeaThermos,items,Food,newKey,"Insulated Iced Mixed Tea",,,,,
Iced CoffeeFoil,items,Food,newKey,"Insulated Iced Coffee",,,,,
Iced CoffeeThermos,items,Food,newKey,"Insulated Iced Coffee",,,,,
Yucca ChipsFoil,items,Food,newKey,"Insulated Yucca Chips",,,,,
Yucca ChipsThermos,items,Food,newKey,"Insulated Yucca Chips",,,,,
HashbrownFoil,items,Food,newKey,"Insulated Hashbrown",,,,,
HashbrownThermos,items,Food,newKey,"Insulated Hashbrown",,,,,
Mashed PotatoFoil,items,Food,newKey,"Insulated Mashed Potato",,,,,
Mashed PotatoThermos,items,Food,newKey,"Insulated Mashed Potato",,,,,
Corn GritsFoil,items,Food,newKey,"Insulated Corn Grits",,,,,
Corn GritsThermos,items,Food,newKey,"Insulated Corn Grits",,,,,
Blueberry JamFoil,items,Food,newKey,"Insulated Blueberry Jam",,,,,
Blueberry JamThermos,items,Food,newKey,"Insulated Blueberry Jam",,,,,
Yucca JamFoil,items,Food,newKey,"Insulated Yucca Jam",,,,,
Yucca JamThermos,items,Food,newKey,"Insulated Yucca Jam",,,,,
Egg SaladFoil,items,Food,newKey,"Insulated Egg Salad",,,,,
Egg SaladThermos,items,Food,newKey,"Insulated Egg Salad",,,,,
Fried MeatFoil,items,Food,newKey,"Insulated Fried Meat",,,,,
Fried MeatThermos,items,Food,newKey,"Insulated Fried Meat",,,,,
Corn ChipsFoil,items,Food,newKey,"Insulated Corn Chips",,,,,
Corn ChipsThermos,items,Food,newKey,"Insulated Corn Chips",,,,,
Blueberry Jam SandwichFoil,items,Food,newKey,"Insulated Blueberry Jam Sandwich",,,,,
Blueberry Jam SandwichThermos,items,Food,newKey,"Insulated Blueberry Jam Sandwich",,,,,
Yucca Jam SandwichFoil,items,Food,newKey,"Insulated Yucca Jam Sandwich",,,,,
Yucca Jam SandwichThermos,items,Food,newKey,"Insulated Yucca Jam Sandwich",,,,,
Clay Roasted MeatFoil,items,Food,newKey,"Insulated Clay Roasted Meat",,,,,
Clay Roasted MeatThermos,items,Food,newKey,"Insulated Clay Roasted Meat",,,,,
Coffee CakeFoil,items,Food,newKey,"Insulated Coffee Cake",,,,,
Coffee CakeThermos,items,Food,newKey,"Insulated Coffee Cake",,,,,
Mushroom PieFoil,items,Food,newKey,"Insulated Mushroom Pie",,,,,
Mushroom PieThermos,items,Food,newKey,"Insulated Mushroom Pie",,,,,
Meat and Beer PieFoil,items,Food,newKey,"Insulated Meat and Beer Pie",,,,,
Meat and Beer PieThermos,items,Food,newKey,"Insulated Meat and Beer Pie",,,,,
Fried MushroomsFoil,items,Food,newKey,"Insulated Fried Mushrooms",,,,,
Fried MushroomsThermos,items,Food,newKey,"Insulated Fried Mushrooms",,,,,
Fried EggFoil,items,Food,newKey,"Insulated Fried Egg",,,,,
Fried EggThermos,items,Food,newKey,"Insulated Fried Egg",,,,,
French ToastFoil,items,Food,newKey,"Insulated French Toast",,,,,
French ToastThermos,items,Food,newKey,"Insulated French Toast",,,,,
Honey Glazed MeatFoil,items,Food,newKey,"Insulated Honey Glazed Meat",,,,,
Honey Glazed MeatThermos,items,Food,newKey,"Insulated Honey Glazed Meat",,,,,
Blueberry SodaFoil,items,Food,newKey,"Insulated Blueberry Soda",,,,,
Blueberry SodaThermos,items,Food,newKey,"Insulated Blueberry Soda",,,,,
Kvass SodaFoil,items,Food,newKey,"Insulated Kvass Soda",,,,,
Kvass SodaThermos,items,Food,newKey,"Insulated Kvass Soda",,,,,
Carbonated WaterFoil,items,Food,newKey,"Insulated Carbonated Water",,,,,
Carbonated WaterThermos,items,Food,newKey,"Insulated Carbonated Water",,,,,
Distilled VodkaFoil,items,Food,newKey,"Insulated Distilled Vodka",,,,,
Distilled VodkaThermos,items,Food,newKey,"Insulated Distilled Vodka",,,,,
Snowberry GinFoil,items,Food,newKey,"Insulated Snowberry Gin",,,,,
Snowberry GinThermos,items,Food,newKey,"Insulated Snowberry Gin",,,,,
Sugar ExtractFoil,items,Food,newKey,"Insulated Sugar Extract",,,,,
Sugar ExtractThermos,items,Food,newKey,"Insulated Sugar Extract",,,,,
Rock CandyFoil,items,Food,newKey,"Insulated Rock Candy",,,,,
Rock CandyThermos,items,Food,newKey,"Insulated Rock Candy",,,,,
Blueberry CandyFoil,items,Food,newKey,"Insulated Blueberry Candy",,,,,
Blueberry CandyThermos,items,Food,newKey,"Insulated Blueberry Candy",,,,,
Snowberry CandyFoil,items,Food,newKey,"Insulated Snowberry Candy",,,,,
Snowberry CandyThermos,items,Food,newKey,"Insulated Snowberry Candy",,,,,
Plain FudgeFoil,items,Food,newKey,"Insulated Plain Fudge",,,,,
Plain FudgeThermos,items,Food,newKey,"Insulated Plain Fudge",,,,,
Energy TabletFoil,items,Food,newKey,"Insulated Energy Tablet",,,,,
Energy TabletThermos,items,Food,newKey,"Insulated Energy Tablet",,,,,
Sponge CakeFoil,items,Food,newKey,"Insulated Sponge Cake",,,,,
Sponge CakeThermos,items,Food,newKey,"Insulated Sponge Cake",,,,,
Blueberry Sponge CakeFoil,items,Food,newKey,"Insulated Blueberry Sponge Cake",,,,,
Blueberry Sponge CakeThermos,items,Food,newKey,"Insulated Blueberry Sponge Cake",,,,,
Yucca Sponge CakeFoil,items,Food,newKey,"Insulated Yucca Sponge Cake",,,,,
Yucca Sponge CakeThermos,items,Food,newKey,"Insulated Yucca Sponge Cake",,,,,
Custard PieFoil,items,Food,newKey,"Insulated Custard Pie",,,,,
Custard PieThermos,items,Food,newKey,"Insulated Custard Pie",,,,,
foodFrozenTinFoil,items,,,"Tinfoil",,,,,
foodFrozenTinFoilDesc,items,,,"A small piece of tinfoil, useful for wrapping things.",,,,,



